rp,cod_rp
Centro,1.1
Ilha do Governador,3.7
Ilha do Governador,3.7
Ilha do Governador,3.7
Ilha do Governador,3.7
Ilha do Governador,3.7
Ilha do Governador,3.7
Penha,3.5
Ilha do Governador,3.7
Penha,3.5
Ilha do Governador,3.7
Pavuna,3.6
Penha,3.5
Ilha do Governador,3.7
Penha,3.5
Pavuna,3.6
Ilha do Governador,3.7
Penha,3.5
Ilha do Governador,3.7
Madureira,3.3
Pavuna,3.6
Pavuna,3.6
Ilha do Governador,3.7
Pavuna,3.6
Penha,3.5
Penha,3.5
Ilha do Governador,3.7
Ilha do Governador,3.7
Pavuna,3.6
Pavuna,3.6
Pavuna,3.6
Pavuna,3.6
Madureira,3.3
Pavuna,3.6
Madureira,3.3
Madureira,3.3
Ramos,3.1
Madureira,3.3
Ramos,3.1
Bangu,5.1
Ilha do Governador,3.7
Madureira,3.3
Ramos,3.1
Bangu,5.1
Madureira,3.3
Madureira,3.3
Madureira,3.3
Santa Cruz,5.3
Inhaúma,3.4
Inhaúma,3.4
Madureira,3.3
Bangu,5.1
Madureira,3.3
Madureira,3.3
Ramos,3.1
Inhaúma,3.4
Inhaúma,3.4
Campo Grande,5.2
Madureira,3.3
Madureira,3.3
Santa Cruz,5.3
Bangu,5.1
Bangu,5.1
Madureira,3.3
Bangu,5.1
Inhaúma,3.4
Ramos,3.1
Madureira,3.3
Méier,3.2
Inhaúma,3.4
Méier,3.2
Madureira,3.3
Jacarepaguá,4.1
Inhaúma,3.4
Madureira,3.3
Bangu,5.1
Madureira,3.3
Méier,3.2
Campo Grande,5.2
Campo Grande,5.2
Méier,3.2
Méier,3.2
Jacarepaguá,4.1
Centro,1.1
Méier,3.2
Centro,1.1
Centro,1.1
Campo Grande,5.2
Méier,3.2
Méier,3.2
Méier,3.2
Méier,3.2
Méier,3.2
Centro,1.1
Centro,1.1
Centro,1.1
Méier,3.2
Méier,3.2
Centro,1.1
Méier,3.2
Méier,3.2
Centro,1.1
Jacarepaguá,4.1
Jacarepaguá,4.1
Méier,3.2
Méier,3.2
Jacarepaguá,4.1
Centro,1.1
Tijuca,2.2
Tijuca,2.2
Tijuca,2.2
Zona Sul,2.1
Centro,1.1
Centro,1.1
Centro,1.1
Tijuca,2.2
Centro,1.1
Tijuca,2.2
Jacarepaguá,4.1
Tijuca,2.2
Zona Sul,2.1
Zona Sul,2.1
Zona Sul,2.1
Guaratiba,5.4
Barra da Tijuca,4.2
Tijuca,2.2
Zona Sul,2.1
Jacarepaguá,4.1
Zona Sul,2.1
Zona Sul,2.1
Jacarepaguá,4.1
Santa Cruz,5.3
Jacarepaguá,4.1
Jacarepaguá,4.1
Barra da Tijuca,4.2
Zona Sul,2.1
Jacarepaguá,4.1
Zona Sul,2.1
Barra da Tijuca,4.2
Zona Sul,2.1
Zona Sul,2.1
Zona Sul,2.1
Barra da Tijuca,4.2
Zona Sul,2.1
Barra da Tijuca,4.2
Zona Sul,2.1
Zona Sul,2.1
Zona Sul,2.1
Zona Sul,2.1
Guaratiba,5.4
Barra da Tijuca,4.2
Zona Sul,2.1
Barra da Tijuca,4.2
Guaratiba,5.4
Barra da Tijuca,4.2
Centro,1.1
Bangu,5.1
Centro,1.1
Campo Grande,5.2
Bangu,5.1
Bangu,5.1
Bangu,5.1
Bangu,5.1
Guaratiba,5.4
